,NSC,SMILES
1628,36390.0,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O.COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O.COC1=CC(=CC(=C1OC)OC)C2C(C(C(C3=CC4=C(C=C23)OCO4)O)CO)C(=O)O.COC1=CC(=CC(=C1OC)OC)C2C(C(C(C3=CC4=C(C=C23)OCO4)O)CO)C(=O)O
2739,69856.0,CC1C(C(C(C(O1)OC2C3CC#CC4C(O4)(C#CC3=CC2OC(=O)C5=C(C=CC6=C5C=C(C=C6C)OC)O)C7COC(=O)O7)NC)O)O
3394,91768.0,CC1CCC(C(C(CC(C(C=CC=C(C(=O)OC(C(C=CC=C(C(CC(CC(CC(CC2CC(C(C(O2)(CC1O)O)O)O)OC(=O)CC(=O)O)O)O)O)C)C)C(C)CCCC=CCCCN=C(N)N)C)C)O)O)C)O
3487,94219.0,CC1C=CC=CC=CC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O
3794,105024.0,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
3919,109229.0,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C
5472,170105.0,COC1=CC(=C2C(=C1)OC(=C)C(=O)N2)C(=O)OC
8762,608604.0,CCC(C(C)C(C(C)C(C(C)C1C(C2C(O2)C(CCCC(CC(CC3CC(C(C(O3)(C(C(C(CCCCC(CC(CC=CC(=O)O1)O)O)C)O)O)O)O)OS(=O)(=O)O)OC(=O)CC(=O)O)O)O)C)O)O)OC4CC(C(C(O4)C)OC)OC(=O)C5=CC(=C(C=C5)NC)OC6CCC(C(O6)C)O
10661,622493.0,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O
10662,622494.0,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O
12147,625770.0,C1=CC(=C(C=C1C(=C2C=CC(=O)C(=C2)C(=O)O)C3=CC(=C(C=C3)O)C(=O)O)C(=O)O)O.N.N.N
1874,1895,C1(=NC(=NN1)N)N
2627,2654,C(C(=O)O)(Cl)Cl
3014,3051,CNC=O
7934,8117,C(C(C1C(=C(C(=O)O1)O)O)O)O
14565,15200,[N+](=O)(O)[O-].[Ga]
21196,23216,CCCCCCCCCCCCCCCCCC1=NC=CN1CCOCCO
29569,33832,C(C(C1C(=C(C(=O)O1)O)O)O)O
35956,41458,C1CN1CC(C(CN2CC2)O)O
43527,51143,C1CN2C(=CC=N2)N1
52275,63345,CS(=O)(=O)C
66516,83628,C=O.C1=CC=C(C=C1)NC2=CC=C(C=C2)[N+]#N.OS(=O)(=O)O
67910,85775,CC(C)C1=CC(=O)C(=CC=C1)O.C=O
73923,93819,CCCC(CCC)C(=O)O
75064,95580,CC(=O)NCCCCCCNC(=O)C
75494,96019,CC1CCC2C(C3C(N2C1)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C
80501,102627,CS(=O)(=O)OCCCNCCCOS(=O)(=O)C.Cl
82776,107041,CC1/C=C/C=C/C(C(C(CC(CC(CC2CC(C(C(O2)(CC(CCCC(C(C(C(C(C(/C=C/C(C(C(=O)OC1C(C)CC(C)CCC/C=C/CCCN(C)C(=N)N)C)O)C)O)C)O)C)O)O)O)O)O)OC(=O)CC(=O)O)O)O)C)O
84599,109441,CC1C2=C(CN(CCC3=CC4=C(C=C3C1=O)OCO4)C)C5=C(C=C2)OCO5.C(=O)(C(=O)O)O
85623,111180,CC(=O)NC(CS)C(=O)O
86561,112758,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
89603,117212,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O.C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O
90794,118742,CNC1=NC(=NC(=N1)N(C)C)N(C)C.Cl
100718,132319,C[C@@H]([C@](C(C)C)(C(=O)OCC1=CC[N+]2([C@H]1[C@@H](CC2)O)[O-])O)O
105425,139490,CN1C(CNC2=C1C(=O)NC(=N2)N)CCNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
106803,141520,C(C(C1C(=O)C(=O)C(=O)O1)O)O
107763,142982,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O.CS(=O)(=O)O
107797,143020,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)O)(C)O)O)C(=C4C(=C3C)O)O)O)O.[Mg+2]
109212,145168,CC(=O)C(N1C(=O)C=CC1=O)O
109833,146443,C=CC(=O)O.C=C(CC(=O)O)C(=O)O
111556,149501,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCNCCCCN)O.OS(=O)(=O)O
112614,150817,CC1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(CC(O2)CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
117927,159228,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75
125124,169534,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
128315,174120,C1C(C(C(C(C1N)OC2C(CC(C(O2)CO)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)OC5C(C(C(C(O5)CO)O)O)O)O)N)O)O)N.OS(=O)(=O)O
128462,174280,CCCC(=O)O.[Na+]
135286,200692,CNCC(=O)NC(CO)C(=O)NC(CO)C(=O)NC1C(C(C(OC1C(=O)N)N2C=CC(=NC2=O)N)O)O.Cl
140467,210717,CC1=C2C=CN=CC2=C(C3=C1NC4=C3C=C(C=C4)O)C.Cl
145801,224131,C(C(C(=O)O)NC(=O)CP(=O)(O)O)C(=O)O.[Na+]
146684,227228,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N.OS(=O)(=O)O
164839,294601,CC1C(O1)(C)C(=O)O[C@@H]2C3C(C4[C@](O4)(CC/C=C(\C2OC(=O)C)/C(=O)OC)C)OC(=O)C3=C
166260,298223,CC1=CNC2=C1C34CC3CN(C4=CC2=O)C(=O)C5=CC6=C7CCN(C7=C(C(=C6N5)OC)O)C(=O)C8=CC9=C1CCN(C1=C(C(=C9N8)OC)O)C(=O)N
169178,307241,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
179768,349438,CC(CCC(=O)C1=COC=C1)O
183469,363787,CC(=O)O[C@@H]1C[C@H]2C([C@@H](CC(C2([C@@H]3[C@@]14CC(C([C@H]3OC(=O)C)O)C(=C)C4=O)C)OC(=O)C)OC(=O)C)(C)C
186081,372160,C=CC1=CC=CC=C1.C(=[N+]=C(N)N)(N)N
188937,381811,COCCOC(=O)CCN1C=C(C(=O)NC1=O)F
195707,406472,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO
202600,526598,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O.[Mg+2]
207736,615284,CC1=CNC2=C1C34CC3CN(C4=CC2=O)C(=O)C5=CC6=C(N5)C=CC(=C6)NC(=O)C7=CC8=CC=CC=C8O7
207737,615291,CC1=CNC2=C(C=C3C(=C12)[C@@H](CN3C(=O)C4=CC5=C(N4)C=CC(=C5)NC(=O)NC6=CC7=C(C=C6)NC(=C7)C(=O)N8C[C@H](C9=C1C(=CNC1=C(C=C98)O)C)CCl)CCl)O
208751,618077,CCC1=CC(=C(C=C1)[O-])C=NCCCN(C)CCCN=CC2=C(C=CC(=C2)C)[O-].[N-]=[N+]=[N-].[Co+3]
208835,618223,COC(=O)C1(CCCC2C1O2)COCC3=CC=CC=C3
208845,618233,C1[C@H]2[C@H](O2)C3CC1CC(=O)O3
209044,618487,CC12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
209052,618495,C1=CC=C2C(=C1)NC(=N2)N=C(N)N.Cl
209343,618857,CSC1=CC=C(C=C1)/C=C\2/C(=O)/C(=C/C3=CC=C(C=C3)SC)/CNC2.Cl
209857,619989,C[C@@]1([C@@H](O1)CCC#C[Si](C)(C)C)CO
209934,620130,C[C@@]1([C@](N1C2=CC=CC=C2)(C)C(=O)C3=CC=CC=C3)C(=O)C4=CC=CC=C4
211509,623586,CCOC(=O)C1=C2C(=C3N1C=CC=C3)C(=C(S2)C(=O)OCC)N
212117,624589,C/C/1=C/CCC2([C@H](O2)C[C@@]3(CC(=O)C(=C(C)C)C3CC1)C)C
212757,625733,CC1=CC=C(C=C1)S(=O)(=O)O.C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Cl)/C=N\N=C(/N)\NO
213124,626541,CCN(CCCNC1=C2C=C(C=CC2=NC3=CC=CC=C31)OC)CCCl.Cl
213201,626674,CCCC(C)OC1[C@H]([C@H](C(C2[C@](O2)([C@H]([C@H]3C1C(=C)C(=O)O3)O)C)O)C)O
213554,627404,C1=CC=C2C(=C1)C(=O)C3=C4C5=CC=CC=C5NC4=C6C(=C3C2=O)C(=O)C7=CC=CC=C7C6=O
213555,627405,C1CCC(CC1)C2=NC3=C(C=CC=C3Cl)C(=O)N2
216547,633664,C[C@H]([C@H]1C[C@]2(C(O[C@](O1)(O2)CC(=O)SC)(C)C)C)C3CCC4[C@@]3(CCC5[C@H]4C(CC6=CC(=O)C=C[C@]56C)O)C
216727,633983,C/C(=C\C=C\C(=C\C=C\C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C=C(\C)/C=C/CC(C)(C)OC)\C)\C)/C=C/CC(C)(C)OC
216728,633984,CCC1=C(C(=NC1=O)/C=C/2\C(=C(/C(=C/C3=C(C(=C(N3)/C=C\4/C(=C/C)/C(C(=O)N4)C)C)CCC(=O)O)/N2)CCC(=O)O)C)C
216940,634374,C1=CC=C2C(=C1)O[Sn]O2
216941,634375,C1=CC2=C(C=C1[N+](=O)[O-])O[Sn]O2
219263,638718,CC1=CC2=C(C3C4[C@@H]5C6=C(C(=C7C(=C6C(N4[C@H](C(C2)N3)O)COC(=O)[C@]8(CS5)C9=CC(=C(C=C9CCN8)O)OC)OCO7)C)OC(=O)C)C(=C1OC)O
219777,640084,CC[N+]1=C(C=CC2=C1C=CC(=C2)Br)/C=C/C3=CC=C(C=C3)N(CCCl)CCCl.[I-]
221463,643728,CCCCC1CCC2N1C(CC2)CCCCC=C
222753,646276,CC1C(C(CC(O1)OC\2COC(=O)C(CC3=NC(=C(C=C3)O[C@@H]4C=C5C#C/C2=C\C#CC6C5(C4OC7CC(C(C(O7)C)O)(C)O)O6)Cl)NC(=O)C8=C(C=C9C=C(C(=C(C9=C8)OC)OC)OC(C)C)O)O)N(C)C
225621,653000,C(CO)NCN(CNCCO)C1=NC(=NC(=N1)N(CNCCO)CNCCO)N(CNCCO)CNCCO
225732,653380,CCCCCCC/C=C\CC#CC#CC(=O)C=C
226908,656576,C[C@]12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC
226962,656667,C1CC2=C(C1)C=C(C=C2)S(=O)(=O)NC(=O)NC3=CC=C(C=C3)Cl
227921,658398,CCOC(=O)CC1(C=CC(=O)C=C1)O
229418,661583,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
231228,666132,CC1(CC2=C(C(C(=C(O2)N)C3=NC(=CS3)C4=CC=CC=C4)C5=CC=C(C=C5)Br)C(=O)C1)C
231230,666134,C1=CC=C(C=C1)C2=CSC(=N2)C3=C(OC4=C(C3C5=CC=C(C=C5)Br)C(=O)OC6=CC=CC=C64)N
231232,666136,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)C4=C(OC5=C(C4C6=CC=CO6)C(=O)OC7=CC=CC=C75)N
231235,666139,CC1(CC2=C(C(C(=C(N2)SSC3=C(C(C4=C(N3)CC(CC4=O)(C)C)C5=CC=CC=C5)C#N)C#N)C6=CC=CC=C6)C(=O)C1)C
231236,666140,CC1(CC2=C(C(C(=C(N2)SSC3=C(C(C4=C(N3)CC(CC4=O)(C)C)C5=CC=C(C=C5)F)C#N)C#N)C6=CC=C(C=C6)F)C(=O)C1)C
231237,666141,CC1(CC2=C(C(C(=C(N2)SSC3=C(C(C4=C(N3)CC(CC4=O)(C)C)C5=CC=C(C=C5)Br)C#N)C#N)C6=CC=C(C=C6)Br)C(=O)C1)C
231238,666142,CC1=C(C(=C(C(=N1)SSC2=NC(=C(C(=C2C#N)C3=CC=C(C=C3)Cl)C(=O)C)C)C#N)C4=CC=C(C=C4)Cl)C(=O)C
231258,666170,C1=CC=C(C=C1)C2=N/C(=C/C3=CC=C(C=C3)Cl)/C(=O)NN2C4=NNC5(C6=CC=CC=C6C7=CC=CC=C75)C(=O)N4
231259,666171,C1=CC=C(C=C1)C2=N/C(=C/C3=CC=C(C=C3)O)/C(=O)NN2C4=NNC5(C6=CC=CC=C6C7=CC=CC=C75)C(=O)N4
231260,666172,COC1=C(C=CC(=C1)/C=C/2\C(=O)NN(C(=N2)C3=CC=CC=C3)C4=NNC5(C6=CC=CC=C6C7=CC=CC=C75)C(=O)N4)O
231694,666739,C[C@@H](C(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\C=C\C(C/C=C\CC([C@H](C)N)O)O)O)N
231695,666740,C[C@@H](C(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC([C@H](C)N)O)O)N
232181,668002,CC(C)C(C(=O)NCC(=O)OCC1=CC=CC=C1)NC(=O)OC(C)(C)C
232182,668003,CC(C)C(C(=O)OCC1=CC=CC=C1)NC(=O)CNC(=O)OC(C)(C)C
232183,668004,CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)O)NC(=O)OC(C)(C)C
232184,668005,CC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C
232185,668006,CC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)OC(C)(C)C
232186,668007,CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)O)NC(=O)C
232187,668008,CC(C)C(C(=O)N1CCCC1C(=O)OCC2=CC=CC=C2)NC(=O)C
