,NSC,CID,SMILES,MECHANISM
0,1,11122,CC1=CC(=O)C=CC1=O,Other
1,17,219123,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Other
2,89,92844,CN(C)CCC(=O)C1=CC=CC=C1.Cl,Other
3,185,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other
4,758187,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other
5,295,4775,C1=CC=C(C=C1)CCCC(=O)O,Other
6,353,24180741,CCN(CC)CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other
7,384,54599265,CCCCCN(CCCCC)CCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)Cl.OP(=O)(O)O,Other
8,596,219376,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-],Other
9,629,11254,C1C(O1)C2CO2,Other
10,721,690109,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N,Other
11,739,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other
12,757427,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other
13,740,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,DNA
14,742,6331826,C(C(C(=O)O)N)OC(=O)C=[N+]=N,Other
15,749,135403646,C12=NNN=C1N=C(NC2=O)N,Other
16,752,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA
17,757348,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA
18,755,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA
19,759614,667490,C1=NC2=C(N1)C(=S)N=CN2,DNA
20,757,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB
21,756702,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB
22,762,5935,CN(CCCl)CCCl.Cl,DNA
23,798,5354119,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=N2,Other
24,830,736782,C1=CN=CC=C1C=CC(=O)O,Other
25,885,219490,CN(C)C1=C(C=C(C=C1)C(=O)C2=CC(=C(C=C2)N(C)C)N)N,Other
26,1010,219563,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)[N+](=O)[O-],Other
27,1011,219564,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)C(=O)O,Other
28,1012,95307,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=CC=C4C(=O)O,Other
29,1013,219565,C1=CC=C(C=C1)NC(C2=CC=C(C=C2)[N+](=O)[O-])C3=C(C4=C(C=CC=N4)C=C3)O,Other
30,1014,219566,CC1=CC(=NC=C1)NC(C2=CC=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Other
31,1026,2901,C1CCC(C1)(C(=O)O)N,Other
32,1027,219573,CC(C)(C(=O)C(Br)Br)Br,Other
33,1063,219600,COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NCCCCCN4CCCCC4,Other
34,1199,219648,CC1(C2CCC1(C(C2)OCC(C)(C)N)C)C,Other
35,1338,219690,CCCCCCCCCCNC(=O)CI,Other
36,1390,135401907,C1=NNC2=C1C(=O)NC=N2,DNA
37,1393,75420,C1=NNC2=NC=NC(=C21)N,Other
38,1433,219760,CCCCNC1=C2C=NN(C2=NC=N1)C3=CC=CC=C3,Other
39,1460,95318,C1=CC2=C(NN=C2C=C1)CC(C(=O)O)N,Other
40,1482,219796,CC1(C2CCC1(C(C2)OCC(C)(C)[N+](=O)[O-])C)C,Other
41,1507,219799,C1=CC=C(C=C1)OC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Other
42,1760,219939,C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)CCC(=O)NN,Other
43,1771,5455,CN(C)C(=S)SSC(=S)N(C)C,Other
44,49512,5455,CN(C)C(=S)SSC(=S)N(C)C,Other
45,622696,5455,CN(C)C(=S)SSC(=S)N(C)C,Other
46,1797,7340,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Other
47,26821,7340,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Other
48,1895,15078,C1(=NC(=NN1)N)N,DNA
49,1906,72508,C1CCNCC1.C1CCN(CC1)C(=S)S,Other
50,1910,23615615,C[As](=O)(C)O.[Na+],Other
51,1945,5351603,C(C(C(C(C(C(=O)O)O)O)O)O)O.[Ba+2],Other
52,2012,24180869,CCCCCCCCCCCC[N+]1=CC=C(C=C1)CCCCCCCCC.[Cl-],Other
53,2013,5634,C=CCCCCCCCCC(=O)O,Other
54,2039,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Other
55,285166,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Other
56,2053,219999,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)C4=CC=CC=C4)(C5=CC=C(C=C5)C6=CC=CC=C6)O,Other
57,2061,1549521,C1=COC(=C1)C=CC=O,Other
58,2186,31316,CC1=CC(=C(C=C1C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,Other
59,2384,1550330,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,Other
60,40618,1550330,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,Other
61,2604,12688,CCCC[Sn](CCCC)(Cl)Cl,Other
62,2724,69497,CC1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,Other
63,2755,6842,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],Other
64,757387,6842,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],Other
65,2785,135399288,COC1=C(C2=C(C(=C1)[N+](=O)[O-])N=CC=C2)O,Other
66,2805,220284,CC1=CC(=C(C=C1O)C2=C(C=C(C(=C2)O)C)O)O,Other
67,2829,8369,CC1=C(C(=O)C=CO1)O,Other
68,3039,24180949,C1=CC=C(C=C1)CC(=O)O.[Na+],Other
69,3053,44415057,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,DNA
70,3055,5351454,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O.Cl,Other
71,3060,54611691,O[As]=O.[K+],Other
72,3061,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Other
73,757306,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Other
74,3062,29142,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl,Other
75,3073,135444779,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Other
76,3074,9048,CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C.Cl,Other
77,3077,16207143,CC1(N=C(N=C(N1C2=CC(=C(C=C2)Cl)Cl)N)N)C.Cl,Other
78,3080,16236702,CC1(N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N)C.Cl,Other
79,3081,24180954,CCCCCCC1N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N.Cl,Other
80,3082,24180955,CC1(N=C(N=C(N1C2=CC(=CC=C2)Br)N)N)C.Cl,Other
81,3083,24180956,CCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N.Cl,Other
82,3088,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,DNA
83,3090,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Other
84,757050,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Other
85,3091,84671,CC[N+](C)(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-].[Br-],Other
86,3094,23654,CN(C)N=NC1=CC=CC=C1,Other
87,3262,94797,C1CN1C2=CC(=C(C=C2O)N3CC3)O,Other
88,3265,5377682,C1=CC=C2C(=C1)C=CC(=N2)C=CC3=CC=C(C=C3)Cl,Other
89,3284,110653,C[N+]1(CCCC1C2=CN=CC=C2)CC[N+]3(CCCC3C4=CN=CC=C4)C,Other
90,3298,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-],Other
91,57759,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-],Other
92,3424,24180972,CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other
93,3531,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Other
94,759822,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Other
95,3618,220625,C1CCC(CC1)NC2CCC(CC2)NC3=C4C=CC(=CC4=NC=C3)Cl,Other
96,3628,24185366,CCN(CC)C1=CC=C(C=C1)NC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3.Cl,Other
97,3799,6436750,C1=CC(=CC(=C1)[N+](=O)[O-])C=CC(=O)C=CC2=CC(=CC=C2)[N+](=O)[O-],Other
