NSC,CELL_NAME
756364,NCI_H522
800964,SF_539
666096,ACHN
251222,SF_295
799346,UO_31
756397,SNB_75
756238,COLO205
613009,OVCAR_4
139105,NCI_ADR_RES
407808,COLO205
800961,U251
756202,MDA_MB_435
752,MOLT_4
703147,U251
325014,DU_145
756373,NCI_H522
95466,RXF_393
756166,UO_31
654663,IGROV1
664173,T47D
30706,U251
756393,OVCAR_4
800111,MOLT_4
800946,MALME_3M
800872,A549
33434,RPMI_8226
22842,A549
650467,U251
27640,RPMI_8226
756287,U251
758667,NCI_H522
626715,UO_31
756381,UACC_62
381838,U251
756409,MOLT_4
353451,SK_MEL_5
32743,MALME_3M
800882,LOXIMVI
756389,IGROV1
800091,SR
756459,PC_3
606194,SNB_75
756180,KM12
756151,NCI_ADR_RES
757,A549
647389,RXF_393
800871,ACHN
844,MOLT_4
800109,HL_60
756296,HCC_2998
647389,PC_3
375575,T47D
756290,M14
624548,OVCAR_8
756393,UACC_257
756167,SF_268
634724,HL_60
33669,OVCAR_8
756212,RXF_393
756163,MDA_MB_231
756373,SR
45388,COLO205
663322,MDA_N
756356,DU_145
800873,SF_539
8120,OVCAR_8
648772,UACC_257
45383,OVCAR_4
756280,SNB_75
667641,OVCAR_8
756152,A498
800085,UACC_257
756334,A498
3894,A549
626715,DU_145
799356,HCT_15
93419,KM12
756314,HOP_92
77213,NCI_ADR_RES
756339,M14
664167,NCI_H522
215139,A549
756401,M14
801010,LOXIMVI
767336,A498
648784,HL_60
703147,NCI_H522
697726,EKVX
339004,HT29
756387,SNB_75
677423,A549
756401,HOP_92
799338,OVCAR_8
132791,SF_539
756477,PC_3
800780,SNB_75
138780,A549
756168,RPMI_8226
801006,RXF_393
83950,HL_60
756276,NCI_ADR_RES
683864,DU_145
2654,HCC_2998
767275,M14
756327,HCT_15
727680,T47D
727680,UO_31
14975,UO_31
664168,OVCAR_4
736241,RPMI_8226
756287,NCI_H522
174121,OVCAR_3
756356,LOXIMVI
756200,OVCAR_4
640353,EKVX
756411,HCT_15
703744,MDA_MB_435
756174,SF_295
799362,IGROV1
756324,HL_60
326231,UO_31
740565,HL_60
694501,T47D
767337,HL_60
800949,MOLT_4
662382,HCT_15
107124,UO_31
764334,KM12
799346,HCT_15
756327,MOLT_4
756156,SF_295
799328,UACC_257
350895,HCT_15
756317,OVCAR_8
127755,ACHN
800944,DU_145
687160,UACC_62
107124,LOXIMVI
339638,NCI_H522
799349,LOXIMVI
613012,UACC_257
800849,UACC_257
651646,SK_MEL_5
45383,SK_MEL_5
800980,T47D
66357,SF_539
800938,MOLT_4
783840,UO_31
297900,M14
799338,SK_MEL_28
648772,OVCAR_4
800842,PC_3
756162,HOP_92
677423,MDA_N
756167,DU_145
800783,RXF_393
330500,MDA_MB_231
21729,RPMI_8226
756316,HT29
