,0
0,15384
1,36390
2,46401
3,53398
4,63445
5,64948
6,69856
7,71901
8,72847
9,75603
10,77471
11,77950
12,91768
13,94217
14,94219
15,100844
16,105023
17,105024
18,109229
19,110326
20,114573
21,122716
22,124668
23,126730
24,149789
25,157365
26,168411
27,170105
28,180512
29,191959
30,227185
31,237020
32,295564
33,305264
34,311148
35,325659
36,325660
37,325661
38,327181
39,355638
40,356235
41,372162
42,381867
43,525661
44,600391
45,600392
46,603539
47,608604
48,608984
49,613678
50,614487
51,619030
52,619031
53,622493
54,622494
55,623274
56,623275
57,623276
58,623277
59,623278
60,623279
61,623280
62,623281
63,623282
64,623283
65,623433
66,623434
67,623435
68,623436
69,624239
70,625384
71,625769
72,625770
73,626813
74,626814
75,626815
76,626818
77,626819
78,626820
79,627322
80,627480
81,627997
82,628604
83,629801
84,631596
85,631737
86,631738
87,631739
88,631740
89,631741
90,632307
91,632990
92,633654
93,633655
94,633661
95,634563
96,635089
97,636009
98,636191
99,636192
100,636193
101,636194
102,636195
103,636196
104,636197
105,636198
106,636199
107,636200
108,636201
109,636202
110,636203
111,636204
112,636205
113,636206
114,636207
115,636208
116,636209
117,636210
118,636211
119,636212
120,636213
121,636214
122,636215
123,636216
124,636217
125,636218
126,636219
127,636220
128,636221
129,636222
130,636223
131,636224
132,636597
133,636853
134,637907
135,638389
136,638505
137,638506
138,638507
139,638719
140,638792
141,639635
142,639636
143,640039
144,640040
145,640157
146,640158
147,640750
148,642511
149,644023
150,644024
151,644458
152,645014
153,645019
154,645205
155,646112
156,646113
157,646137
158,646138
159,646139
160,646140
161,646141
162,646142
163,648365
164,650289
165,650290
166,650291
167,650292
168,652903
169,653865
170,654490
171,654491
172,654492
173,654493
174,654494
175,654495
176,654496
177,654497
178,654498
179,655748
180,655749
181,655750
182,655751
183,655752
184,655753
185,655754
186,655755
187,655757
188,655758
189,655759
190,661254
191,670194
192,671526
193,673267
194,676807
195,677088
196,678111
197,678517
198,678518
199,678519
200,678520
201,678521
202,678522
203,678523
204,678524
205,678525
206,683039
207,683428
208,688097
209,688523
210,688524
211,694246
212,694252
213,694282
214,700363
215,705566
216,705567
217,705628
218,719240
219,719241
220,719242
221,719243
222,720308
223,722333
224,727982
225,727983
226,727984
227,727985
228,727986
229,727987
230,727988
231,740286
232,740287
233,740288
234,740289
235,740290
236,740291
237,740292
238,740293
239,740294
240,742351
241,748120
242,754277
243,759061
244,761264
245,767067
246,767593
247,775664
248,800528
249,807448
250,811189
251,819151
252,819152
253,819153
